show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1101,movie,What Lies Below,Braden R. Duemmler,"Ema Horvath, Trey Tucker, Mena Suvari, Haskiri Velazquez, Danny Corbo, Olan Montgomery, Troy Iwata",united states,2021-04-04,2020,TV-MA,88 min,"Horror Movies, Thrillers","Back home at her lake house, a teenager begins to suspect that a sinister force lurks beneath the surface of her mother's too-perfect new lover."
s1102,movie,Escape from Planet Earth,Cal Brunker,"Rob Corddry, Brendan Fraser, Sarah Jessica Parker, William Shatner, Jessica Alba, Jane Lynch, George Lopez, Sofía Vergara, Craig Robinson, Ricky Gervais, Steve Zahn, Chris Parnell","united states, canada",2021-04-03,2013,PG,89 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy","This all-ages animated comedy follows the adventures of astronaut Scorch Supernova, a hero of the blue aliens who has a vast appetite for adventure."
s1103,movie,Accepted,Steve Pink,"Justin Long, Jonah Hill, Adam Herschman, Columbus Short, Maria Thayer, Lewis Black, Blake Lively, Mark Derwin, Ann Cusack, Robin Lord Taylor, Hannah Marks, Anthony Heald",united states,2021-04-02,2006,PG-13,93 min,Comedies,"Rejected by every college he applied to, a high school senior invents a fake university that will fool his parents and help his fellow outcasts."
s1104,movie,Air Strike,Xiao Feng,"Bruce Willis, Liu Ye, Song Seung-heon, William Chan Wai-ting, Fan Wei, Wu Gang, Ma Su, Janine Chang, Che Yongli, Feng Yuanzheng, Geng Le",china,2021-04-02,2018,R,97 min,"Action & Adventure, Dramas, International Movies",The residents of Chongqing try to survive Japanese air raids as a U.S. military advisor trains a squadron of Chinese pilots desperate to fight back.
s1105,movie,An American Girl: McKenna Shoots for the Stars,Vince Marcello,"Jade Pettyjohn, Kerris Dorsey, Nia Vardalos, Ian Ziering, Ysa Penarejo, Cathy Rigby, Kally Berard, Talia Pura, Paula Rivera, George Chiang","united states, canada",2021-04-02,2012,TV-Y,94 min,"Children & Family Movies, Comedies, Dramas","A talented young gymnast struggles with her schoolwork and an injury. But with help from her tutor, she gets her confidence back."
s1106,movie,Concrete Cowboy,Ricky Staub,"Idris Elba, Caleb McLaughlin, Jharrel Jerome, Byron Bowers, Lorraine Toussaint, Method Man, Ivannah Mercedes, Jamil Prattis, Liz Priestley","united kingdom, united states",2021-04-02,2021,R,112 min,"Dramas, Independent Movies","Sent to live with his estranged father for the summer, a rebellious teen finds kinship in a tight-knit Philadelphia community of Black cowboys."
s1107,movie,Cross: Rise of the Villains,"Patrick Durham, Paul G. Volk","Brian Austin Green, Vinnie Jones, Lori Heuring, Richard Grieco, Patrick Durham, Tim Abell, Carson Lee Bradshaw, Manu Intiraymi, Danny Trejo",united states,2021-04-02,2019,R,100 min,Action & Adventure,"Armed with a mighty ancient amulet, a team of weapons experts joins forces to defend Los Angeles from supervillains with explosive powers of their own."
s1108,movie,God Calling,BB Sasore,"Zainab Balogun, Karibi Fubara, Diana Egwuatu, Richard Mofe-Damijo, Tina Mba, Onyeka Onwenu, Nkem Owoh, Patrick Diabuah, Ademola Adedoyin, Bikiya Graham Douglas",nigeria,2021-04-02,2018,TV-MA,120 min,"Dramas, Faith & Spirituality, International Movies","The loss of a child plunges Sade into a suicidal depression, but her suffering leads to faith – with a little assist from modern technology."
s1109,movie,Irul,Naseef Yusuf Izuddin,"Fahadh Faasil, Soubin Shahir, Darshana Rajendran",india,2021-04-02,2021,TV-MA,91 min,"International Movies, Thrillers","When a car breakdown forces a couple to seek shelter in a nearby home, conversations with the stranger inside soon suggest there’s a killer among them."
s1110,movie,Just Say Yes,"Appie Boudellah, Aram van de Rest","Yolanthe Cabau, Noortje Herlaar, Kim-Lian van der Meij, Nienke Plas, Pip Pellens, Jim Bakkum, Huub Smit, Edwin Jonker",netherlands,2021-04-02,2021,TV-MA,98 min,"Comedies, International Movies, Romantic Movies",Incurable romantic Lotte finds her life upended when her plans for a picture-perfect wedding unravel — just as her self-absorbed sister gets engaged.
s1111,movie,Madame Claude,Sylvie Verheyde,"Karole Rocher, Garance Marillier, Roschdy Zem, Pierre Deladonchamps, Liah O'Prey, Paul Hamy, Mylène Jampanoï, Hafsia Herzi, Regina Anikiy, Annabelle Belmondo, Joséphine de La Baume",france,2021-04-02,2021,TV-MA,113 min,"Dramas, International Movies","In 1960s Paris, Madame Claude's influence extends beyond the world of sex work — until an affluent young woman threatens to change everything."
s1112,movie,Wild Child,Nick Moore,"Emma Roberts, Kimberley Nixon, Juno Temple, Linzey Cocker, Sophie Wu, Alex Pettyfer, Georgia King, Natasha Richardson, Aidan Quinn, Lexi Ainsworth","united states, united kingdom, france",2021-04-02,2008,PG-13,98 min,"Comedies, Romantic Movies","Accustomed to getting her way, a wealthy teenage girl from Los Angeles is sent to a strict boarding school in England to clean up her act."
s1113,movie,Woody Woodpecker,Alex Zamm,"Timothy Omundson, Thaila Ayala, Eric Bauza, Graham Verchere, Jordana Largy, Scott McNeil, Adrian Glynn McMorran, Chelsea Miller, Sean Tyson",united states,2021-04-02,2017,PG,91 min,"Children & Family Movies, Comedies",A rascally bird with a distinctive laugh pecks back with a vengeance when his forest habitat is threatened by a slick lawyer building his dream home.
s1114,movie,2012,Roland Emmerich,"John Cusack, Amanda Peet, Chiwetel Ejiofor, Thandie Newton, Oliver Platt, Tom McCarthy, Woody Harrelson, Danny Glover, Liam James, Morgan Lily",united states,2021-04-01,2009,PG-13,158 min,"Action & Adventure, Sci-Fi & Fantasy","When a flood of natural disasters begins to destroy the world, a divorced dad desperately tries to save his family by outrunning the cataclysmic chaos."
s1115,movie,3 Idiots,Rajkumar Hirani,"Aamir Khan, Kareena Kapoor, Madhavan, Sharman Joshi, Omi Vaidya, Boman Irani, Mona Singh, Javed Jaffrey",india,2021-04-01,2009,PG-13,164 min,"Comedies, Dramas, International Movies","While attending one of India's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system."
s1116,movie,Ferrari Ki Sawaari,Rajesh Mapuskar,"Sharman Joshi, Boman Irani, Ritwik Sahore, Paresh Rawal, Deepak Shirke, Satyadeep Misra, Aakash Dabhade, Nilesh Diwekar, Vidya Balan",india,2021-04-01,2012,TV-PG,133 min,"Comedies, International Movies, Sports Movies",A father winds up involved with a stolen Ferrari as he tries to acquire the money to send his son to the leading cricket academy.
s1119,movie,Insidious,James Wan,"Patrick Wilson, Rose Byrne, Lin Shaye, Ty Simpkins, Barbara Hershey, Leigh Whannell, Angus Sampson, Andrew Astor, Joseph Bishara","united states, canada",2021-04-01,2010,PG-13,103 min,"Horror Movies, Thrillers","A family moves into a new home, where their son falls into a coma and eerie events begin to reveal something far more sinister is lurking in the house."
s1120,movie,Into the Grizzly Maze,David Hackl,"James Marsden, Thomas Jane, Billy Bob Thornton, Piper Perabo, Scott Glenn, Michaela McManus, Adam Beach, Kelly Curran","united states, canada",2021-04-01,2015,R,90 min,"Action & Adventure, Horror Movies",Estranged brothers Beckett and Rowan reunite in the Alaskan wild to confront a savage grizzly bear wreaking havoc on their hometown.
s1121,movie,Kingsglaive: Final Fantasy XV,Takeshi Nozue,"Aaron Paul, Lena Headey, Sean Bean, Adrian Bouchet, Liam Mulvey, Alexa Kahn, Todd Haberkorn, John DeMita, David Gant, Darin De Paul","japan, united states",2021-04-01,2016,PG-13,116 min,"Action & Adventure, Sci-Fi & Fantasy",King Regis of Lucis orders his Kingsglaive warriors to stop the army of Niflheim before it invades and steals the crystal that gives Lucis its power.
s1122,movie,Legally Blonde,Robert Luketic,"Reese Witherspoon, Luke Wilson, Selma Blair, Matthew Davis, Victor Garber, Jennifer Coolidge",united states,2021-04-01,2001,PG-13,96 min,"Comedies, Romantic Movies","When dazzling L.A. sorority girl Elle Woods gets dumped by her snobby boyfriend, she decides to win him back by following him to Harvard Law School."
s1123,movie,Madam Chief Minister,Subhash Kapoor,"Richa Chadda, Saurabh Shukla, Manav Kaul, Shubrajyoti Barat, Akshay Oberoi, Boloram Das, Nikhil Vijay, Raviza Chauhan",india,2021-04-01,2020,TV-14,121 min,"Dramas, International Movies","Rising from disadvantage to become a state leader, a tenacious politician learns that with great power comes great responsibility, ruthlessness and risk."
s1125,movie,Maximum Risk,Ringo Lam,"Jean-Claude Van Damme, Natasha Henstridge, Jean-Hugues Anglade, Zach Grenier, Paul Ben-Victor, Frank Senger, Stéphane Audran",united states,2021-04-01,1996,R,101 min,Action & Adventure,"After discovering he's a twin when a look-alike turns up dead, a French cop assumes his brother's identity to uncover the truth and seek vengeance."
s1127,movie,My Fair Lady,George Cukor,"Audrey Hepburn, Rex Harrison, Stanley Holloway, Wilfred Hyde-White, Gladys Cooper, Jeremy Brett, Theodore Bikel, Mona Washbourne, Isobel Elsom, John Holland, Alan Napier, Marni Nixon",united states,2021-04-01,1964,G,173 min,"Classic Movies, Music & Musicals","When a Cockney flower girl takes elocution lessons from an aloof professor, he decides to introduce her to high society, transforming both their lives."
s1129,movie,S.W.A.T.: Under Siege,Tony Giglio,"Sam Jaeger, Michael Jai White, Adrianne Palicki, Ty Olsson, Kyra Zagorsky, Olivia Cheng, Lisa Chandler, Monique Ganderton, Matthew Marsden, Chris Gauthier",united states,2021-04-01,2017,R,89 min,"Action & Adventure, International Movies","When a S.W.A.T. team takes in a mysterious, high-profile prisoner, international threats unleash a barrage of attacks on their compound to retrieve him."
s1132,movie,Seven Souls in the Skull Castle: Season Flower,Hidenori Inoue,"Shun Oguri, Koji Yamamoto, Songha, Ryo, Munetaka Aoki, Nana Seino, Yoshimasa Kondo, Arata Furuta",japan,2021-04-01,2017,TV-14,181 min,"Action & Adventure, Dramas, International Movies","Japan, 1590. Wandering samurai band together to take on the lord of Skull Castle in this “Flower” version of the bold show performed in a 360º theater."
s1134,movie,Sniper: Ghost Shooter,Don Michael Paul,"Chad Michael Collins, Billy Zane, Dennis Haysbert, Nick Gomez, Ravil Isyanov, Stephanie Vogt, Navid Negahban, Presciliana Esparolini, Enoch Frost",united states,2021-04-01,2016,R,99 min,Action & Adventure,Snipers ordered to protect a gas pipeline from terrorists suspect a security breach when they're targeted by a ghost shooter who knows their location.
s1135,movie,Starship Troopers: Traitor of Mars,"Shinji Aramaki, Masaru Matsumoto","Casper Van Dien, Dina Meyer, DeRay Davis, Justin Doran, Luci Christian, Emily Neves, Scott Gibbs, Juliet Simmons, Chris Gibson, Greg Ayres","united states, japan",2021-04-01,2017,R,88 min,"Action & Adventure, Sci-Fi & Fantasy","When a corrupt official plans to sabotage the planet Mars, it’s up to Rico and a group of fresh recruits to fend off a surprise bug attack on their own."
s1136,movie,Takers,John Luessenhop,"Matt Dillon, Paul Walker, Chris Brown, Idris Elba, Jay Hernandez, Hayden Christensen, Michael Ealy, T.I., Marianne Jean-Baptiste, Zoe Saldana, Steve Harris, Johnathon Schaech",united states,2021-04-01,2010,PG-13,107 min,Action & Adventure,An elite crew of bank robbers sets up a daring heist after a former associate persuades them to target an armored car that could be their biggest score.
s1137,movie,Tersanjung the Movie,"Hanung Bramantyo, Pandu Adjisurya","Clara Bernadeth, Giorgino Abraham, Kevin Ardilova, Nugie, Kinaryosih, Marthino Lio, Djenar Maesa Ayu, Ernanto Kusuma, Sacha Stevenson",indonesia,2021-04-01,2021,TV-14,114 min,"Dramas, International Movies, Romantic Movies","After growing up in a tumultuous household, Yura finds herself in a love triangle with two close friends as she faces a personal and financial crisis."
s1138,movie,The Knight and the Princess,Bashir El Deek,"Sedky Sakhr, Hashem El Garhy, Shahira Kamal, Aiemzy, Hani R. Eskander, Saif Abu-Kandil","egypt, saudi arabia",2021-04-01,2019,TV-PG,96 min,"Action & Adventure, International Movies, Music & Musicals","A fictional account of the heroic quests of a 7th-century knight, from rescuing hostages abducted by pirates in the Indian Sea to taking on a tyrant."
s1139,movie,The Pianist,Roman Polański,"Adrien Brody, Thomas Kretschmann, Frank Finlay, Maureen Lipman, Emilia Fox, Ed Stoppard, Julia Rayner, Jessica Kate Meyer, Ronan Vibert, Ruth Platt","united kingdom, france, poland, germany, united states",2021-04-01,2002,R,149 min,"Dramas, Independent Movies, International Movies",Famed Polish pianist Wladyslaw Szpilman struggles to survive the onslaught of Nazi tyranny during World War II in this drama based on his memoirs.
s1140,movie,The Stepfather,Nelson McCormick,"Dylan Walsh, Sela Ward, Penn Badgley, Amber Heard, Sherry Stringfield, Paige Turco, Jon Tenney, Nancy Linehan Charles, Marcuis Harris, Braeden Lemasters, Deirdre Lovejoy",united states,2021-04-01,2009,PG-13,102 min,"Horror Movies, Thrillers",A series of mysterious events makes a teenager suspect that his mother's new boyfriend may be a dangerous serial killer known for preying on families.
s1141,movie,Universal Soldier: The Return,Mic Rodgers,"Jean-Claude Van Damme, Michael Jai White, Heidi Schanz, Xander Berkeley, Justin Lazard, Kiana Tom, Daniel von Bargen, James Black, Karis Paige Bryant, Bill Goldberg",united states,2021-04-01,1999,R,83 min,Action & Adventure,An ex-Universal Soldier working to design smarter cyborg warriors discovers that the supercomputer controlling the soldiers has a sinister agenda.
s1142,movie,Wazir,Bejoy Nambiar,"Amitabh Bachchan, Farhan Akhtar, Aditi Rao Hydari, Manav Kaul, Neil Nitin Mukesh, John Abraham",india,2021-04-01,2016,TV-14,98 min,"Dramas, International Movies, Thrillers","Helping an amputee grandmaster settle the score for his tragic past, a grieving detective unravels a conspiracy more complicated than he imagined."
s1143,movie,White Boy,Shawn Rech,Richard Wershe Jr.,united states,2021-04-01,2017,TV-MA,83 min,Documentaries,"This true-crime documentary exposes new facts about alleged teen drug lord ""White Boy Rick"" and his lesser-known role as an FBI informant."
s1145,movie,Yes Man,Peyton Reed,"Jim Carrey, Zooey Deschanel, Bradley Cooper, John Michael Higgins, Rhys Darby, Danny Masterson, Fionnula Flanagan, Terence Stamp, Sasha Alexander, Molly Sims","united states, united kingdom",2021-04-01,2008,PG-13,104 min,"Comedies, Romantic Movies","After a bitter divorce, a loan officer falls under the sway of a self-help guru who urges him to say yes to everything that comes his way for a year."
s1146,movie,At Eternity's Gate,Julian Schnabel,"Willem Dafoe, Rupert Friend, Oscar Isaac, Mads Mikkelsen, Mathieu Amalric, Emmanuelle Seigner, Niels Arestrup, Anne Consigny, Amira Casar, Vincent Perez, Lolita Chammah, Stella Schnabel, Vladimir Consigny","ireland, switzerland, united kingdom, france, united states",2021-03-31,2018,PG-13,111 min,Dramas,Wild artistic inspiration and emotional turmoil fill painter Vincent van Gogh's last years as he struggles to bring his unique vision to the world.
s1148,movie,Not a Game,Jose Gomez,Brendon Mcdonnell,united kingdom,2021-03-31,2020,TV-MA,98 min,"Documentaries, International Movies, Sports Movies","This documentary offers an honest look at our fraught, complex relationship to video games from the perspectives of gamers and their concerned parents."
s1151,movie,7 Yards: The Chris Norton Story,Jonathon Link,Chris Norton,united states,2021-03-30,2021,TV-PG,93 min,Documentaries,"The true story of former college football player Chris Norton, who defied the odds after a devastating accident — with the woman he loves by his side."
s1152,movie,Octonauts & the Ring of Fire,Blair Simmons,"Simon Greenall, Rob Rackstraw, Jo Wyatt, Paul Buckley, Simon Foster, Teresa Gallagher, Richard Grieve, Michael Murphy, Paul Panting, Keith Wickham","china, united kingdom",2021-03-30,2021,TV-Y,73 min,Children & Family Movies,"When red-hot volcanoes start a chain reaction of disasters across the ocean, the Octonauts must work together to face their biggest challenge yet."
s1154,movie,Mandela: Long Walk to Freedom,Justin Chadwick,"Idris Elba, Naomie Harris, Tony Kgoroge, Riaad Moosa, Zolani Mkiva, Simo Mogwaza, Fana Mokoena, Thapelo Mokoena, Jamie Bartlett, Deon Lotz, Terry Pheto, Mark Elderkin","united kingdom, south africa, france",2021-03-29,2013,PG-13,141 min,"Dramas, International Movies",This in-depth biopic portrays groundbreaking South African leader Nelson Mandela's fight against political oppression and virulent racism.
s1155,movie,Lawless,John Hillcoat,"Shia LaBeouf, Jessica Chastain, Jason Clarke, Guy Pearce, Lew Temple, Gary Oldman, Tim Tolin, Dane DeHaan, Mia Wasikowska, Chris McGarry, Tom Hardy",united states,2021-03-28,2012,R,116 min,Dramas,"This true-to-life action saga profiles Virginia's bootlegging Bondurant brothers, whose exploits during the Prohibition era made them outlaw heroes."
s1157,movie,A Week Away,Roman White,"Kevin Quinn, Bailee Madison, Jahbril Cook, Kat Conner Sterling, Sherri Shepherd, David Koechner, Iain Tucker, Amy Grant",united states,2021-03-26,2021,TV-PG,98 min,"Children & Family Movies, Faith & Spirituality, Music & Musicals","In this uplifting musical, a troubled teen takes a leap of faith by attending summer camp — and unexpectedly finds love, friends and a place to belong."
s1161,movie,Croupier,Mike Hodges,"Clive Owen, Kate Hardie, Alex Kingston, Gina McKee, Nicholas Ball, Nick Reding, Alexander Morton","ireland, united kingdom, france, germany",2021-03-26,1998,TV-MA,95 min,"Dramas, Independent Movies, Thrillers","A would-be writer lands a job as a croupier to make ends meet. But when he becomes involved with a gambler, he is lured into taking part in a heist."
s1163,movie,Keeping the Bees,Eylem Kaftan,"Meryem Uzerli, Feyyaz Duman, Hakan Karsak, Şennur Nogaylar, Burcu Salihoğlu",turkey,2021-03-26,2020,TV-14,93 min,"Dramas, International Movies",Ayşe returns from Germany to her Black Sea hometown and sets out to fulfill her mom's dying wish — to care for her beloved bee farms.
s1165,movie,Ni de coña,Fernando Ayllón,"Nathalie Seseña, Goyo Jiménez, José Juan Vaquero, Jordi Sánchez, Ricardo Quevedo, Carolina Noriega, Max Marieges, Kikín Fernández, Norma Nivia, Moi Camacho",spain,2021-03-26,2020,TV-MA,97 min,"Comedies, International Movies","Trying to fix their relationships, four couples attend a spiritual retreat at a Caribbean resort, where temptation and mishaps add problems to the mix."
s1166,movie,Pagglait,Umesh Bist,"Sanya Malhotra, Sayani Gupta, Ashutosh Rana, Raghuvir Yadav, Shruti Sharma, Sheeba Chaddha, Natasha Rastogi, Rajesh Tailang, Meghna Malik, Jameel Khan, Chetan Sharma, Ananya Khare, Bhupesh Pandya",india,2021-03-26,2021,TV-PG,114 min,"Comedies, Dramas, International Movies","Widowed soon after marriage, a young woman grapples with an inability to grieve, quirky relatives and a startling discovery about her late husband."
s1168,movie,Caught by a Wave,Massimiliano Camaiti,"Elvira Camarrone, Christian Roberto, Donatella Finocchiaro, Corrado Invernizzi, Vincenzo Amato, Manuela Ventura, Rosalba Battaglia, Daniele Pilli",italy,2021-03-25,2021,TV-14,100 min,"Dramas, International Movies, Romantic Movies","After falling in love at a sailing summer camp in Sicily, reality comes crashing down on a teenage couple when a harsh truth prompts a pivotal decision."
s1171,movie,Secret Magic Control Agency,Aleksey Tsitsilin,"Nicholas Corda, Sylvana Joyce, Alyson Leigh Rosenfeld, Courtney Shaw, Erica Schroeder, Georgette Timoney, Mary O'Brady, Marc Thompson","russia, united states",2021-03-25,2021,TV-Y7,105 min,"Children & Family Movies, Comedies","Hansel and Gretel of fairy tale fame — now acting as secret agents — must use magic, clever thinking and teamwork on a mission to find a missing king."
s1173,movie,Loyiso Gola: Unlearning,Kagiso Lediga,Loyiso Gola,south africa,2021-03-23,2021,TV-MA,60 min,Stand-Up Comedy,"South African comedian Loyiso Gola serves up filter-free humor as he riffs about race, identity, politics, and a school prank gone embarrassingly wrong!"
s1174,tv show,Men on a Mission,Jung-ah Im,"Ho-dong Kang, Soo-geun Lee, Sang-min Lee, Young-chul Kim, Jang-hoon Seo, Hee-chul Kim, Kyung-hoon Min",south korea,2021-03-23,2021,TV-14,6 Seasons,"International TV Shows, Korean TV Shows, Stand-Up Comedy & Talk Shows","Male celebs play make-believe as high schoolers, welcoming star transfer students every week and engaging in battles of witty humor and slapstick."
s1176,movie,Philomena,Stephen Frears,"Judi Dench, Steve Coogan, Sophie Kennedy Clark, Mare Winningham, Barbara Jefford, Ruth McCabe, Peter Hermann, Sean Mahon, Anna Maxwell Martin, Michelle Fairley, Kate Fleetwood","united kingdom, united states, france",2021-03-22,2013,PG-13,98 min,"Dramas, Independent Movies, International Movies",A kind-hearted Irishwoman teams with an acerbic journalist to find the son she was forced to give up for adoption 50 years ago.
s1177,movie,Any Crybabies Around?,Takuma Sato,"Taiga Nakano, Riho Yoshioka, Kanichiro, Takashi Yamanaka, Kimiko Yo, Toshiro Yanagiba",japan,2021-03-20,2020,TV-MA,108 min,"Dramas, International Movies",An immature young father in Akita becomes an outcast in his community after a media incident. Two years later he returns to ineptly try to make amends.
s1178,movie,Hospital,Brody Chu,"Lin Po-Hung, Tai Bo, Jacqueline Zhu, Lei Hong, Hsu Lichi, Yoko Young, Samuel Gu, Eunice Lin",taiwan,2021-03-20,2020,TV-MA,90 min,"Horror Movies, International Movies","In an abandoned hospital in Tainan, visitors seeking to communicate with their relatives' spirits are haunted by disturbing, supernatural occurrences."
s1179,movie,Jiu Jitsu,Dimitri Logothetis,"Alain Moussi, Nicolas Cage, Tony Jaa, Rick Yune, Frank Grillo, Marie Avgeropoulos, JuJu Chan, Ryan Tarran, Eddie Steeples, Raymond Pinharry, Mary Makariou",united states,2021-03-20,2020,R,102 min,Action & Adventure,"After the defeat of a celebrated war hero, an ancient order of fighters battles powerful space invaders as the fate of humanity hangs in the balance."
s1185,movie,The Yin Yang Master,Li Weiran,"Chen Kun, Zhou Xun, Qu Chuxiao, Shen Yue, William Chan Wai-ting, Wang Likun, Cici Wang",china,2021-03-19,2021,TV-14,120 min,"Action & Adventure, International Movies","A feud erupts between realms, and Yin Yang master Qing Ming teams up with disgraced guard Yuan Boya to vanquish a demonic threat as a conspiracy looms."
s1186,movie,Who's the Boss,Chinaza Onuzo,"Funke Akindele, Blossom Chukwujekwu, Sharon Ooja, Ini Dima-Okojie, Segun Arinze, Bolly Lomo, Beverly Osu, Tayo Faniran",nigeria,2021-03-19,2020,TV-MA,106 min,"Comedies, International Movies, Romantic Movies","A young, overworked ad executive with an overbearing boss starts her own side hustle and invents an employer once her business begins to flourish."
s1188,movie,Deadly Illusions,Anna Elizabeth James,"Kristin Davis, Dermot Mulroney, Greer Grammer, Shanola Hampton, Marie Wagenman, Shylo Molina, Abella Bala, Shaun Wu",united states,2021-03-18,2021,R,115 min,Thrillers,"After a bestselling novelist suffering from writer's block hires a new nanny for her children, the line between fiction and reality starts to blur."
s1189,movie,Get the Goat,Vitor Brandt,"Matheus Nachtergaele, Edmilson Filho, Letícia Lima, Leandro Ramos, Evelyn Castro, Valéria Vitoriano, Victor Allen, Renan Medeiros, Eyrio Okura, Jéssica Tamochunas, Marcondes Falcão, Juliano Cazarré",brazil,2021-03-18,2021,TV-14,98 min,"Action & Adventure, Comedies, International Movies","Two hapless cops find themselves in over their heads as they cross paths with dangerous criminals while searching for Celestina, a beloved goat mascot."
s1190,movie,Nate Bargatze: The Greatest Average American,Troy Miller,Nate Bargatze,united states,2021-03-18,2021,TV-G,60 min,Stand-Up Comedy,"Nate Bargatze touches on Zoom comedy shows, losing his phone, hotel breakfast fails, animal caddies, new math and much more in this special."
s1191,movie,Skylines,Liam O'Donnell,"Lindsey Morgan, Jonathan Howard, Daniel Bernhardt, Rhona Mitra, James Cosmo, Yayan Ruhian, Alexander Siddig, Cha-Lee Yoon, Ieva Andrejevaite, Jeremy Fitzgerald","united kingdom, united states",2021-03-18,2020,R,113 min,Action & Adventure,"When a mysterious alien virus begins to endanger humanity, an elite team of soldiers launches into space to end the threat for good."
s1192,movie,The Fluffy Movie,"Manny Rodriguez, Jay Lavender",Gabriel Iglesias,united states,2021-03-18,2014,PG-13,101 min,Stand-Up Comedy,"Comedian Gabriel Iglesias takes the stage in San Jose, California, for a stand-up performance featuring wild stories and even wilder impersonations."
s1193,movie,The Present,Farah Nabulsi,"Saleh Bakri, Maryam Kanj, Maryam Kamiel Basha, Ameer Khlawe, Ala' Hanani, Malak Abu Ghraibeh, Karam Elayyan, Leila Mouammar, Angie Saba","united kingdom,",2021-03-18,2020,TV-MA,24 min,"Dramas, International Movies","Yusuf and his daughter set out to buy his wife an anniversary gift, a gesture demanding much patience and negotiation skills in the West Bank."
s1195,movie,Catch.er,Walter Taylaur,"OC Ukeje, Blossom Chukwujekwu, Alexx Ekubo, Beverly Naya, Tope Tedela, Gbenro Ajibade, Omowunmi Dada, Kiki Omeili, Wofai Fada",nigeria,2021-03-17,2017,TV-14,80 min,"Dramas, International Movies, Thrillers","A man becomes the prime suspect in his wife's murder, but the police investigation soon widens to other potential culprits with hidden motives."
s1196,movie,Operation Varsity Blues: The College Admissions Scandal,Chris Smith,Matthew Modine,united states,2021-03-17,2021,R,100 min,Documentaries,Reenactments drive this documentary investigating the mastermind behind a scam to get the kids of rich and famous families into top US universities.
s1198,movie,Get on Up,Tate Taylor,"Chadwick Boseman, Nelsan Ellis, Dan Aykroyd, Viola Davis, Lennie James, Fred Melamed, Craig Robinson, Jill Scott, Octavia Spencer, Jacinte Blankenship","united kingdom, united states",2021-03-16,2014,PG-13,139 min,"Dramas, Music & Musicals",Music legend James Brown makes a turbulent journey from humble origins to superstardom as the Godfather of Soul in this biopic starring Chadwick Boseman.
s1199,movie,RebellComedy: Straight Outta the Zoo,Ladislaus Kiraly,"Khalid Bounouar, Alain Frei, Babak Ghassim, Benaissa Lamroubal, Salim Samatou, Hany Siam, Ususmango, DJ Wati",germany,2021-03-16,2021,TV-MA,74 min,Stand-Up Comedy,"The comics of RebellComedy take the stage and tackle mistaken identities, geriatric influencers, our flawed perceptions of animals and more."
s1200,movie,Savages,Oliver Stone,"Taylor Kitsch, Aaron Taylor-Johnson, Blake Lively, John Travolta, Benicio Del Toro, Salma Hayek, Demián Bichir, Sandra Echeverría, Emile Hirsch, Joaquín Cosío, Ali Wong",united states,2021-03-16,2012,R,131 min,"Dramas, Thrillers","With the help of a shady DEA agent, two weed entrepreneurs take on a merciless cartel leader who wants in on their business and kidnaps their lover."
s1203,movie,C/O Kaadhal,Hemambar Jasti,"Deepann, Vetri, Mumtaz Sorcar, Ayra, Karthik Rathnam, Sonia Giri, Nishesh, Shwetha",india,2021-03-15,2021,TV-14,131 min,"Dramas, International Movies, Romantic Movies","Cutting across conventions and expectations, four brave love stories blossom in this Tamil remake of the 2018 Telugu film ""Care of Kancharapalem.”"
s1204,movie,The BFG,Steven Spielberg,"Mark Rylance, Ruby Barnhill, Penelope Wilton, Jemaine Clement, Rebecca Hall, Rafe Spall, Bill Hader, Ólafur Darri Ólafsson, Adam Godley, Michael Adamthwaite, Daniel Bacon, Jonathan Holmes, Chris Gibbs, Paul Moniz de Sa","united states, india, united kingdom",2021-03-15,2016,PG,118 min,"Children & Family Movies, Dramas",A little orphan meets up with a kind giant who's supposed to eat her but instead protects her from some truly horrible giants who terrorize them both.
s1209,movie,Çarsi Pazar,Muharrem Gülmez,"Erdem Yener, Ayhan Taş, Emin Olcay, Muharrem Gülmez, Elif Nur Kerkük, Tarık Papuççuoğlu, Suzan Aksoy, Doğa Konakoğlu, Esin Eden, Deniz Özerman",turkey,2021-03-12,2015,TV-MA,97 min,"Comedies, International Movies",The slacker owner of a public bath house rallies his community to save it when a big developer comes to town to close it down and open a new mall.
s1210,movie,Just In Time,Dolapo Adeleke,"Sarah Hassan, Stycie Waweru, Mawuli Gavor, Pierra Makena, Eve D'Souza, Christabel Jazz Mistri, Martin Githinji, Lydia Gitachu, Kagwe Mungai, Blessing Lung'Aho",kenya,2021-03-12,2020,TV-G,92 min,"Comedies, Dramas, International Movies",A meticulous clerk for a bookstore that has just been shuttered suddenly finds herself taking care of her cousin's witty 11-year-old daughter.
s1212,movie,Mucize,Mahsun Kırmızıgül,"Talat Bulut, Mert Turak, Mahsun Kırmızıgül, Erdem Yener, Erol Demiröz, Ali Sürmeli, Meral Çetinkaya, Büşra Pekin",turkey,2021-03-12,2015,TV-14,136 min,"Dramas, International Movies","Sent away from his family to a remote mountain town, teacher Mahir helps the villagers build a school – and inspires a path to hope for them all."
